animal,local_pair_index,pair_id,ch1,ch2,distance_px,x1,y1,x2,y2,mid_x,mid_y,algorithm,bottleneck_threshold_px
Kin2,29,BP054-063,54,63,31.529565382245593,627.3514711950637,707.5274891651999,624.7532834596233,738.9498206141027,626.0523773273435,723.2386548896513,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,30,BP055-064,55,64,28.61294812458036,696.9251649996392,721.5275378305528,678.7378508515551,743.6165035025535,687.8315079255972,732.5720206665532,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,31,BP056-057,56,57,58.64589995149463,267.0694385473045,814.5500834070073,325.3843188316374,808.3278395557395,296.22687868947094,811.4389614813733,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,32,BP058-066,58,66,41.442323632453906,390.0503246914916,778.4610690696536,387.74082448221117,819.838990680585,388.89557458685135,799.1500298751193,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,33,BP059-067,59,67,48.4714790732678,444.90095466190377,766.9499179448081,439.9932667171826,815.172307792134,442.4471106895432,791.0611128684711,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,34,BP062-070,62,70,36.68428079472968,576.8311541170527,749.527635161258,562.1080902828896,783.1277519581046,569.4696221999711,766.3276935596813,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,35,BP065-074,65,74,35.471489276127464,326.5390689362777,833.8390393459376,325.96169388395754,869.3058292981646,326.2503814101176,851.5724343220511,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,36,BP068-069,68,69,38.80837660614028,480.98689543191165,806.4611664003589,518.80496135888,797.750025008584,499.8959283953958,802.1055957044714,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,37,BP071-072,71,72,46.241315246091276,616.9587202533016,766.9499179448081,663.1487244389117,769.1277032927518,640.0537223461067,768.03881061878,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,38,BP073-087,73,87,34.59107242859601,707.0292284152415,762.9054594414839,741.383044028289,766.9499179448081,724.2061362217653,764.927688693146,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,39,BP075-076,75,76,46.80461760823814,386.58607437757104,860.5946879063895,433.35345361550117,858.7280147510091,409.96976399653613,859.6613513286993,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,40,BP077-078,77,78,39.64918245412595,483.29639564119213,856.5502294030654,522.8465867251209,853.7502196699949,503.0714911831565,855.1502245365301,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,41,BP079-080,79,80,45.635916456594195,552.8700894457673,843.7946295079662,595.884530843617,828.5501320723599,574.3773101446922,836.1723807901631,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,42,BP081-101,81,101,42.5937142586425,652.1785984448293,819.838990680585,662.2826618604316,861.2169122915162,657.2306301526305,840.5279514860506,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
